brand,model,year,mileage,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,avg_mpg,damaged,first_owner,personal_using,turbo,alloy_wheels,extras,interior_color,exterior_color,price
Volkswagen,Atlas 3.6L SEL,2021.0,79311.0,3.6,8,1.0,Gasoline,Four-wheel Drive,5.0,1.0,0.0,1.0,0.0,1.0,13.0,Titan Black,Deep Black Pearl Effect,31632
BMW,330 i,2018.0,46040.0,2.0,8,1.0,Gasoline,Rear-wheel Drive,5.0,0.0,0.0,1.0,1.0,1.0,6.0,Beige,Silver,24985
Maserati,Levante S,2020.0,50690.0,3.0,8,1.0,Gasoline,Four-wheel Drive,4.0,0.0,1.0,0.0,1.0,1.0,11.0,Black,Silver,38000
Mitsubishi,Outlander SEL,2020.0,66770.0,2.4,CVT,1.0,Gasoline,Front-wheel Drive,2.5,0.0,1.0,0.0,0.0,1.0,9.0,Black,VARIOUS EXTERIO,21346
Volvo,XC90 T6 Momentum,2017.0,88712.0,2.0,Automatic,1.0,Gasoline,Four-wheel Drive,4.0,1.0,1.0,1.0,0.0,1.0,13.0,Beige,Onyx Black Metallic,25293
FIAT,500 Pop,2013.0,101540.0,1.4,Automatic,1.0,Gasoline,Front-wheel Drive,13.5,0.0,0.0,1.0,0.0,1.0,5.0,Avorio (Ivory),Bianco Perla (Pearl White Tri-Coat),6799
Mercedes-Benz,GLE 350 Base,2018.0,61196.0,3.5,7,1.0,Gasoline,Rear-wheel Drive,2.5,0.0,0.0,1.0,0.0,1.0,8.0,Black,Black,26652
Kia,K5 GT-Line,2022.0,14633.0,1.6,8,1.0,Gasoline,Four-wheel Drive,1.0,0.0,1.0,1.0,1.0,1.0,12.0,Black,Sapphire Blue,33788
Nissan,Armada SV,2020.0,63352.0,5.6,Automatic,1.0,Gasoline,Four-wheel Drive,2.5,0.0,1.0,0.0,0.0,1.0,8.0,Black,Gun Metallic,28998
Honda,Passport Sport,2021.0,15667.0,3.5,9,1.0,Gasoline,Four-wheel Drive,2.5,0.0,1.0,1.0,0.0,1.0,9.0,Gray,Platinum White,33995
Kia,Stinger GT2,2022.0,10054.0,3.3,8,1.0,Gasoline,Rear-wheel Drive,2.5,0.0,0.0,1.0,1.0,1.0,11.0,Black,Ceramic Silver,43000
Maserati,Levante Base,2019.0,33015.0,3.0,8,1.0,Gasoline,Four-wheel Drive,3.5,0.0,0.0,0.0,1.0,1.0,9.0,Black,Bianco,40995
Land,Rover Defender 110 HSE,2020.0,20069.0,3.0,8,1.0,Gasoline,Four-wheel Drive,6.5,1.0,1.0,1.0,1.0,1.0,10.0,Khaki,Pangea Green,70994
Mercedes-Benz,Maybach S 580 4MATIC,2021.0,7095.0,4.0,Automatic,1.0,Gasoline,Four-wheel Drive,3.0,0.0,1.0,1.0,0.0,1.0,12.0,Black Nappa Leather,Selenite Gray/Cirrus Silver,179900
Alfa,Romeo Stelvio Base,2018.0,59679.0,2.0,8,1.0,Gasoline,Four-wheel Drive,3.0,1.0,0.0,1.0,1.0,1.0,10.0,Black,Vesuvio Gray Metallic,21880
Mercedes-Benz,AMG GT 53 Base,2019.0,49613.0,3.0,9,1.0,Gasoline,Four-wheel Drive,3.5,0.0,1.0,1.0,1.0,1.0,11.0,Black,White,69960
Alfa,Romeo Stelvio Ti Sport,2019.0,17041.0,2.0,8,1.0,Gasoline,Four-wheel Drive,3.0,0.0,0.0,1.0,1.0,1.0,10.0,Red,Alfa White,34998
Honda,Civic EX-T,2017.0,74932.0,1.5,CVT,1.0,Gasoline,Front-wheel Drive,5.0,0.0,0.0,1.0,1.0,1.0,9.0,Black,Lunar Silver Metallic,19205
Land,Rover Range Rover 3.0L Supercharged HSE,2015.0,62685.0,3.0,8,1.0,Gasoline,Four-wheel Drive,2.5,0.0,0.0,1.0,0.0,1.0,7.0,Ebony / Ivory,Corris Grey,36900
Land,Rover Discovery SE,2020.0,61489.0,3.0,8,1.0,Gasoline,Four-wheel Drive,3.0,0.0,1.0,0.0,0.0,1.0,9.0,Acorn / Ebony,Narvik Black,28970
Mercedes-Benz,E-Class E 450,2020.0,32857.0,3.0,9,1.0,Gasoline,Rear-wheel Drive,4.5,1.0,1.0,1.0,1.0,1.0,8.0,Red,White,51796
Lexus,LS 460 L,2013.0,100496.0,4.6,8,1.0,Gasoline,Rear-wheel Drive,3.5,0.0,0.0,1.0,0.0,1.0,8.0,Flaxen,Obsidian Black,24490
Cadillac,XTS Luxury,2018.0,84089.0,3.6,6,1.0,Gasoline,Four-wheel Drive,3.0,0.0,0.0,0.0,0.0,1.0,9.0,Jet Black,Black Raven,23788
Mercedes-Benz,E-Class E 350 4MATIC,2013.0,47858.0,3.5,7,1.0,Gasoline,Four-wheel Drive,4.5,0.0,0.0,1.0,0.0,1.0,5.0,Black,Iridium Silver Metallic,19983
Alfa,Romeo Stelvio Ti Sport,2019.0,20283.0,2.0,Automatic,1.0,Gasoline,Four-wheel Drive,4.0,0.0,1.0,1.0,1.0,0.0,3.0,Red/Black,Montecarlo Blue Metallic,35995
Chevrolet,Malibu 1FL,2015.0,77867.0,2.5,6,1.0,Gasoline,Front-wheel Drive,5.5,0.0,0.0,0.0,0.0,1.0,2.0,Black,Tan,14990
Jaguar,E-PACE Checkered Flag Edition,2020.0,12525.0,2.0,9,1.0,Gasoline,Four-wheel Drive,3.0,0.0,1.0,1.0,1.0,1.0,7.0,Ebony / Ebony,Yulong White,36522
Jaguar,XF S,2016.0,66447.0,3.0,8,1.0,Gasoline,Four-wheel Drive,4.0,0.0,Unknown,1.0,0.0,1.0,8.0,Light Oyster,Dark Sapphire Blue Metallic,24500
FIAT,124 Spider Lusso,2018.0,37170.0,1.4,6,1.0,Gasoline,Rear-wheel Drive,4.5,0.0,0.0,1.0,1.0,1.0,7.0,Saddle,Hypnotique Red,24491
Mercedes-Benz,GLE 350 Base 4MATIC,2020.0,26775.0,2.0,9,1.0,Gasoline,Four-wheel Drive,3.0,1.0,1.0,0.0,1.0,1.0,11.0,Macchiato,Brilliant Blue Metallic,49943
Maserati,Ghibli S Q4,2019.0,24907.0,3.0,8,1.0,Gasoline,Four-wheel Drive,3.0,0.0,1.0,1.0,0.0,1.0,10.0,Nero,Grigio,36998
Porsche,Cayenne Base,2017.0,87182.0,3.6,8,1.0,Gasoline,Four-wheel Drive,2.0,1.0,1.0,1.0,0.0,1.0,6.0,Black,Jet Black Metallic,29531
Chevrolet,Tahoe High Country,2021.0,33310.0,6.2,10,1.0,Gasoline,Four-wheel Drive,2.5,1.0,0.0,0.0,0.0,1.0,10.0,Jet Black,Summit White,64777
Volkswagen,Passat 2.0T R-Line,2018.0,71167.0,2.0,6,1.0,Gasoline,Front-wheel Drive,2.0,0.0,0.0,1.0,1.0,1.0,7.0,Titan Black,Pure White,15999
Ford,Expedition Limited,2020.0,28580.0,3.5,10,1.0,Gasoline,Four-wheel Drive,2.5,0.0,1.0,0.0,1.0,1.0,8.0,Ebony,Magnetic Metallic,53995
Lexus,NX 350 F SPORT Handling,2022.0,17759.0,2.4,8,1.0,Gasoline,Four-wheel Drive,2.0,0.0,1.0,1.0,1.0,1.0,4.0,Black,Cloudburst Gray,42895
Volvo,XC90 B6 Ultimate 6-Seater,2023.0,4741.0,2.0,Automatic,1.0,Gasoline,Four-wheel Drive,5.5,0.0,1.0,1.0,1.0,0.0,9.0,Charcoal,Black,66500
Chevrolet,Corvette Base,2003.0,48435.0,5.7,Automatic,1.0,Gasoline,Rear-wheel Drive,3.0,0.0,0.0,1.0,0.0,1.0,3.0,Light Oak,Torch Red,24950
Chevrolet,Silverado 1500 LT,2017.0,19036.0,5.3,6,1.0,Gasoline,Four-wheel Drive,2.5,0.0,0.0,1.0,0.0,1.0,4.0,Jet Black,Silver Ice Metallic,39988
Jeep,Gladiator Overland,2020.0,20370.0,3.6,8,1.0,Gasoline,Four-wheel Drive,3.5,0.0,1.0,1.0,0.0,1.0,8.0,Black,Bright White Clearcoat,42720
Jaguar,XF 3.0 Portfolio,2015.0,64080.0,3.0,8,1.0,Gasoline,Four-wheel Drive,3.5,0.0,0.0,0.0,0.0,1.0,7.0,London Tan / Charcoal,Polaris White,20500
Lexus,IS 200t Base,2016.0,53069.0,2.0,8,1.0,Gasoline,Rear-wheel Drive,2.0,0.0,0.0,1.0,1.0,1.0,9.0,Flaxen,Eminent White Pearl,24980
Porsche,911 Turbo S,2014.0,27661.0,3.8,7,1.0,Gasoline,Four-wheel Drive,2.5,1.0,0.0,1.0,1.0,0.0,5.0,Black,Rhodium Silver,125900
Mitsubishi,Outlander ES,2019.0,84405.0,2.4,CVT,1.0,Gasoline,Front-wheel Drive,3.0,0.0,0.0,1.0,0.0,1.0,6.0,Black,Black,19897
Mercedes-Benz,CLS 450 Base,2019.0,53452.0,3.0,Automatic,1.0,Hybrid,Rear-wheel Drive,2.0,1.0,0.0,1.0,1.0,1.0,11.0,Black,Gray,47988
Alfa,Romeo Stelvio Sport,2020.0,61918.0,2.0,8,1.0,Gasoline,Rear-wheel Drive,4.0,0.0,1.0,1.0,1.0,1.0,9.0,Black,Montecarlo Blue Metallic,28985
Volkswagen,Tiguan 2.0T S,2021.0,39158.0,2.0,8,1.0,Gasoline,Four-wheel Drive,4.0,0.0,1.0,0.0,1.0,1.0,6.0,Titan Black,Atlantic Blue,22995
Porsche,Cayenne GTS,2022.0,6993.0,4.0,8,1.0,Gasoline,Four-wheel Drive,2.0,0.0,1.0,0.0,1.0,1.0,6.0,Black,Black,119900
Land,Rover Discovery Sport HSE,2018.0,41075.0,2.0,Automatic,1.0,Gasoline,Four-wheel Drive,1.5,1.0,0.0,1.0,0.0,1.0,7.0,Ebony,Fuji White,27990
Jeep,Wrangler Unlimited Sahara,2018.0,66988.0,3.6,8,1.0,Gasoline,Four-wheel Drive,3.5,0.0,0.0,0.0,0.0,1.0,7.0,Black,Granite Crystal Clearcoat Metallic,33980
Nissan,NV Passenger NV3500 HD SL V8,2016.0,76189.0,5.6,5,1.0,Gasoline,Rear-wheel Drive,3.0,1.0,0.0,1.0,0.0,0.0,8.0,Beige,Black,30795
Chevrolet,Suburban 1500 LTZ,2014.0,79990.0,5.3,6,1.0,Flex Fuel,Four-wheel Drive,3.0,0.0,0.0,1.0,0.0,1.0,8.0,Light Cashmere,Crystal Red Tintcoat,24000
Mercedes-Benz,S-Class S 550,2015.0,69076.0,4.7,7,1.0,Gasoline,Rear-wheel Drive,3.0,0.0,1.0,1.0,1.0,1.0,5.0,Silk Beige / Espresso Brown,Black,34994
Mazda,MX-5 Miata Grand Touring,2011.0,77973.0,2.0,6,1.0,Gasoline,Rear-wheel Drive,5.5,0.0,0.0,1.0,0.0,1.0,3.0,Black,Brilliant Black Clearcoat,14750
Hyundai,Elantra Touring GLS,2012.0,63265.0,2.0,Automatic,1.0,Gasoline,Front-wheel Drive,5.0,0.0,1.0,1.0,0.0,0.0,3.0,Black,Titanium Gray Metallic,10996
Alfa,Romeo Stelvio Base,2020.0,10907.0,2.0,8,1.0,Gasoline,Rear-wheel Drive,3.0,0.0,1.0,1.0,1.0,1.0,10.0,Black,Vesuvio Gray Metallic,29000
BMW,X3 sDrive30i,2020.0,61028.0,2.0,8,1.0,Gasoline,Rear-wheel Drive,2.0,1.0,1.0,0.0,1.0,1.0,8.0,Black,Alpine White,28500
Mazda,CX-30 Preferred,2020.0,28399.0,2.5,6,1.0,Gasoline,Four-wheel Drive,3.0,0.0,1.0,1.0,0.0,1.0,9.0,Beige,Soul Red Crystal Metallic,25680
Hyundai,Palisade Calligraphy,2022.0,25180.0,3.8,8,1.0,Gasoline,Four-wheel Drive,3.0,0.0,1.0,1.0,0.0,1.0,12.0,Navy,Steel / Graphite,53886
Mitsubishi,Outlander PHEV SEL,2021.0,15990.0,2.4,1,1.0,Hybrid,Four-wheel Drive,3.5,0.0,1.0,0.0,0.0,1.0,9.0,Black,Diamond White Pearl,25944
Volkswagen,Atlas 3.6L SEL Premium R-Line,2022.0,17301.0,3.6,8,1.0,Gasoline,Four-wheel Drive,3.5,0.0,1.0,1.0,0.0,1.0,11.0,Titan Black / Quarzit,Aurora Red Metallic,44995
Cadillac,SRX Luxury Collection,2014.0,6860.0,3.6,6,1.0,Gasoline,Front-wheel Drive,3.5,0.0,1.0,1.0,0.0,1.0,7.0,Black,Black,27998
Volkswagen,Jetta 1.4T SE w/ Connectivity,2016.0,50609.0,1.4,6,1.0,Gasoline,Front-wheel Drive,3.5,1.0,1.0,1.0,1.0,1.0,8.0,Titan Black,Black,13911
Jaguar,XF 3.0 Portfolio,2015.0,53406.0,3.0,8,1.0,Gasoline,Four-wheel Drive,2.5,0.0,0.0,1.0,0.0,1.0,9.0,Ivory,Polaris White,19872
Volkswagen,Golf Alltrack TSI SE,2017.0,118779.0,1.8,6,1.0,Gasoline,Four-wheel Drive,3.0,0.0,1.0,1.0,1.0,1.0,7.0,Beige,Tornado Red,15736
Mazda,CX-9 Grand Touring,2021.0,55307.0,2.5,6,1.0,Gasoline,Four-wheel Drive,2.5,1.0,0.0,0.0,1.0,1.0,10.0,Black,Sonic Silver Metallic,30616
Kia,Soul +,2013.0,113310.0,2.0,6,0.0,Gasoline,Front-wheel Drive,2.0,0.0,1.0,1.0,0.0,1.0,2.0,Black,White,6900
Ford,Mustang GT,2017.0,22386.0,5.0,6,0.0,Gasoline,Rear-wheel Drive,5.0,0.0,0.0,1.0,0.0,1.0,5.0,Ebony,Oxford White,41800
Nissan,Frontier SV,2020.0,25159.0,3.8,Automatic,1.0,Gasoline,Rear-wheel Drive,3.0,0.0,0.0,1.0,0.0,1.0,6.0,Wheat,Magnetic Black,30000
Volvo,XC60 Recharge Plug-In Hybrid T8 Inscription,2018.0,43239.0,2.0,8,1.0,Hybrid,Four-wheel Drive,4.0,0.0,0.0,1.0,0.0,1.0,10.0,Maroon Brown,Crystal White Metallic,37000
Mitsubishi,Outlander Sport 2.0 ES,2022.0,32559.0,2.0,CVT,1.0,Gasoline,Front-wheel Drive,2.5,0.0,1.0,1.0,0.0,1.0,4.0,Black,Silver,22794
FIAT,500C Pop,2017.0,55015.0,1.4,6,1.0,Gasoline,Front-wheel Drive,3.5,1.0,0.0,1.0,0.0,1.0,4.0,Avorio Ivory,Verde Chiaro,14995
Chevrolet,Camaro LT1,2022.0,13533.0,6.2,10,1.0,Gasoline,Rear-wheel Drive,4.0,1.0,1.0,1.0,0.0,1.0,8.0,Jet Black,Vivid Orange Metallic,41544
Mercedes-Benz,GLS 580 Base 4MATIC,2020.0,47362.0,4.0,9,1.0,Gasoline,Four-wheel Drive,6.5,0.0,1.0,1.0,1.0,1.0,11.0,Black,Black,74017
Porsche,Cayenne E-Hybrid Base,2019.0,37558.0,3.0,8,1.0,Hybrid,Four-wheel Drive,3.0,0.0,1.0,1.0,1.0,1.0,9.0,Slate Gray,Quartzite Metallic,58955
Honda,Pilot Touring,2013.0,123385.0,3.5,5,1.0,Gasoline,Four-wheel Drive,3.5,0.0,0.0,1.0,0.0,1.0,9.0,Gray,Diamond White Pearl,16980
Audi,A7 3.0T quattro Premium,2012.0,136170.0,3.0,8,1.0,Gasoline,Four-wheel Drive,5.0,1.0,0.0,1.0,0.0,1.0,5.0,Nougat Brown,Brown,14990
Ford,Escape Titanium,2021.0,32155.0,2.0,8,1.0,Gasoline,Four-wheel Drive,4.0,0.0,1.0,0.0,1.0,1.0,9.0,Black,Black / Agate,28200
Jaguar,F-PACE S,2022.0,2945.0,3.0,Automatic,1.0,Gasoline,Four-wheel Drive,4.5,0.0,1.0,0.0,0.0,1.0,9.0,Ebony,Fuji White,53466
Honda,Accord Crosstour EX-L,2010.0,90355.0,3.5,5,1.0,Gasoline,Front-wheel Drive,4.5,0.0,0.0,1.0,0.0,1.0,6.0,Black,Glacier Blue Metallic,13995
Cadillac,CT6 PLUG-IN Base,2018.0,36100.0,2.0,CVT,1.0,Hybrid,Rear-wheel Drive,2.5,1.0,1.0,0.0,1.0,1.0,9.0,Cinnamon,Pearl,38000
FIAT,500X Lounge,2016.0,79352.0,2.4,9,1.0,Gasoline,Front-wheel Drive,4.5,0.0,0.0,1.0,0.0,1.0,11.0,Brown,Black Clearcoat,15988
Audi,A7 3.0T Premium Plus,2017.0,38827.0,3.0,8,1.0,Gasoline,Four-wheel Drive,4.0,0.0,0.0,0.0,0.0,1.0,7.0,Nougat Brown,Glacier White Metallic,36998
Land,Rover Range Rover P525 HSE,2020.0,40198.0,5.0,Automatic,1.0,Gasoline,Four-wheel Drive,2.0,0.0,1.0,1.0,0.0,1.0,8.0,Ebony,SVO Green,73944
Lexus,ES 350 Base,2013.0,88722.0,3.5,6,1.0,Gasoline,Front-wheel Drive,5.0,1.0,1.0,1.0,0.0,1.0,4.0,Parchment,Black,18495
Hyundai,Sonata Limited,2013.0,132210.0,2.4,6,1.0,Gasoline,Front-wheel Drive,1.5,0.0,0.0,1.0,0.0,1.0,5.0,Gray,Harbor Gray Metallic,7905
Porsche,911 Targa 4S,2014.0,40485.0,3.8,7,1.0,Gasoline,Four-wheel Drive,2.0,0.0,1.0,1.0,0.0,1.0,6.0,Black,Basalt Black Metallic,99500
Volvo,S60 B5 Momentum,2022.0,22734.0,2.0,8,1.0,Gasoline,Four-wheel Drive,5.0,1.0,1.0,0.0,1.0,1.0,10.0,Blond,Crystal White,32499
Hyundai,Tucson Limited,2020.0,20284.0,2.4,Automatic,1.0,Gasoline,Four-wheel Drive,2.5,0.0,1.0,0.0,0.0,1.0,11.0,Black,Sage Brown,27988
Audi,A5 45 S line quattro Premium,2023.0,3032.0,2.0,Automatic,1.0,Gasoline,Four-wheel Drive,3.5,0.0,1.0,1.0,1.0,1.0,8.0,Black,Daytona Gray Pearl Effect,46911
Jaguar,F-TYPE Base,2021.0,24047.0,3.0,Automatic,1.0,Gasoline,Rear-wheel Drive,2.5,0.0,1.0,1.0,0.0,1.0,10.0,Light Oyster / Ebony,Fuji White,53300
Nissan,Armada SV,2018.0,94452.0,5.6,7,1.0,Gasoline,Four-wheel Drive,3.0,1.0,0.0,1.0,0.0,1.0,4.0,Black,Black,21888
Cadillac,XT5 Luxury,2019.0,33159.0,3.6,8,1.0,Gasoline,Front-wheel Drive,3.5,0.0,1.0,1.0,0.0,1.0,11.0,Jet Black,Shadow Metallic,31485
Ford,Expedition Limited,2021.0,14472.0,3.5,10,1.0,Gasoline,Four-wheel Drive,2.5,0.0,0.0,1.0,1.0,1.0,12.0,Ebony,Black,59500
Kia,Soul !,2017.0,69638.0,1.6,Automatic,1.0,Gasoline,Front-wheel Drive,2.5,1.0,0.0,1.0,0.0,1.0,12.0,Black,Shadow Black,14551
Kia,Sportage LX,2015.0,127628.0,2.4,6,1.0,Gasoline,Four-wheel Drive,2.0,1.0,0.0,1.0,0.0,1.0,2.0,Black,Bright Silver,11995
Nissan,Quest 3.5,2005.0,130202.0,3.5,4,1.0,Gasoline,Front-wheel Drive,4.0,0.0,0.0,1.0,0.0,0.0,0.0,Gray,Silver Mist Metallic,6995
Jaguar,XF 35t Premium,2017.0,26999.0,3.0,8,1.0,Gasoline,Rear-wheel Drive,3.5,0.0,0.0,1.0,0.0,1.0,7.0,Espresso/Latte,British Racing Green,25950
Volkswagen,Golf R 4-Door,2016.0,68323.0,2.0,6,1.0,Gasoline,Four-wheel Drive,5.0,1.0,0.0,1.0,1.0,1.0,10.0,Black,Blue,23000
Maserati,Levante S,2017.0,72295.0,3.0,8,1.0,Gasoline,Four-wheel Drive,3.5,0.0,0.0,0.0,1.0,1.0,10.0,Black,Nero,32498
Jaguar,F-PACE 30t Portfolio,2019.0,41777.0,2.0,Automatic,1.0,Gasoline,Four-wheel Drive,4.5,0.0,1.0,1.0,0.0,1.0,10.0,Espresso / Espresso,Silicon Silver,39950
Land,Rover Discovery Sport HSE,2019.0,39702.0,2.0,Automatic,1.0,Gasoline,Four-wheel Drive,3.0,0.0,1.0,1.0,0.0,1.0,8.0,Almond / Ebony,Fuji White,29999
Mazda,CX-9 Grand Touring,2021.0,28609.0,2.5,6,1.0,Gasoline,Four-wheel Drive,3.0,0.0,1.0,0.0,1.0,1.0,12.0,Black,Jet Black Mica,37896
Mercedes-Benz,E-Class E 350 4MATIC,2011.0,117550.0,3.5,7,1.0,Gasoline,Four-wheel Drive,2.5,1.0,0.0,1.0,0.0,1.0,4.0,Black,Black,12995
Chevrolet,Suburban Z71,2022.0,50126.0,5.3,Automatic,1.0,Gasoline,Four-wheel Drive,2.0,0.0,1.0,0.0,0.0,0.0,1.0,Jet Black,Satin Steel Metallic,64986
Volkswagen,Arteon 2.0T SEL R-Line,2020.0,14750.0,2.0,8,1.0,Gasoline,Four-wheel Drive,5.0,1.0,1.0,0.0,1.0,1.0,10.0,Titan Black,Deep Black Pearl Effect,30999
Kia,Optima SX,2013.0,89473.0,2.0,6,1.0,Gasoline,Front-wheel Drive,5.0,0.0,1.0,0.0,1.0,1.0,4.0,Black,Black,17195
Honda,Passport EX-L,2021.0,50006.0,3.5,9,1.0,Gasoline,Four-wheel Drive,2.5,0.0,1.0,1.0,0.0,1.0,11.0,Black,Crystal Black Pearl,32995
Nissan,Murano SL,2021.0,76161.0,3.5,CVT,1.0,Gasoline,Four-wheel Drive,2.5,0.0,1.0,0.0,0.0,1.0,10.0,Cashmere,Mocha Almond,30980
Cadillac,CTS Premium,2011.0,120656.0,3.6,6,1.0,Gasoline,Four-wheel Drive,3.5,1.0,0.0,1.0,0.0,1.0,9.0,Cashmere,White Diamond Tri-Coat,10000
Hyundai,Santa Fe HEV SEL Premium,2022.0,5500.0,1.6,6,1.0,Hybrid,Four-wheel Drive,3.0,0.0,0.0,0.0,1.0,1.0,11.0,Black,Shimmering Silver,37003
Alfa,Romeo Stelvio Ti,2021.0,9858.0,2.0,8,1.0,Gasoline,Four-wheel Drive,3.0,0.0,1.0,1.0,1.0,1.0,11.0,Black / Red,Vulcano Black Metallic,35985
Honda,Civic LX,2012.0,97128.0,1.8,5,1.0,Gasoline,Front-wheel Drive,5.5,0.0,0.0,1.0,0.0,0.0,1.0,Tan,Red,11999
Chevrolet,Camaro 1SS,2014.0,59700.0,6.2,6,0.0,Gasoline,Rear-wheel Drive,4.0,0.0,1.0,1.0,0.0,1.0,3.0,Black,Blue Ray Metallic,24750
Lexus,CT 200h Premium,2011.0,94734.0,1.8,Automatic,1.0,Gasoline,Front-wheel Drive,4.5,1.0,0.0,1.0,0.0,1.0,8.0,Caramel,Obsidian,13995
BMW,530 i,2019.0,18151.0,2.0,8,1.0,Gasoline,Rear-wheel Drive,5.0,1.0,0.0,0.0,1.0,1.0,9.0,Black,Black Sapphire Metallic,32997
FIAT,500 Sport Turbo,2015.0,119279.0,1.4,5,0.0,Gasoline,Front-wheel Drive,3.0,0.0,0.0,0.0,1.0,1.0,2.0,Nero,Granite Crystal,8881
Mercedes-Benz,GLS 450 Base 4MATIC,2020.0,21116.0,3.0,9,1.0,Gasoline,Four-wheel Drive,2.0,0.0,1.0,0.0,1.0,1.0,11.0,Macchiato,Polar White,59990
Porsche,Cayenne Base,2019.0,40060.0,3.0,8,1.0,Gasoline,Four-wheel Drive,5.0,0.0,1.0,1.0,1.0,1.0,9.0,Slate Gray,White,57996
Land,Rover Range Rover 5.0L Supercharged,2014.0,40330.0,5.0,8,1.0,Gasoline,Four-wheel Drive,3.5,0.0,0.0,1.0,0.0,1.0,7.0,Almond / Espresso / Ivory,Luxor Metallic,39788
Mercedes-Benz,AMG GLA 45 Base,2023.0,1351.0,2.0,Automatic,1.0,Gasoline,Four-wheel Drive,1.5,0.0,1.0,1.0,1.0,0.0,2.0,Black,White,61900
Hyundai,Palisade SE,2020.0,20150.0,3.8,8,1.0,Gasoline,Front-wheel Drive,1.5,0.0,0.0,1.0,0.0,1.0,7.0,Gray,White,35998
Land,Rover Range Rover Evoque SE Premium,2017.0,42201.0,2.0,9,1.0,Gasoline,Four-wheel Drive,2.5,1.0,0.0,1.0,1.0,1.0,11.0,Almond / Espresso,Fuji White,28500
Ford,Expedition Max Platinum,2020.0,76428.0,3.5,10,1.0,Gasoline,Four-wheel Drive,2.5,0.0,1.0,1.0,1.0,1.0,13.0,Medium Soft Ceramic,White,54585
Honda,CR-V EX-L,2016.0,96607.0,2.4,CVT,1.0,Gasoline,Four-wheel Drive,3.0,0.0,0.0,1.0,0.0,1.0,6.0,Beige,White Diamond Pearl,19900
Hyundai,Palisade SEL,2021.0,26370.0,3.8,8,1.0,Gasoline,Four-wheel Drive,4.5,0.0,0.0,1.0,0.0,1.0,10.0,Gray,Rainforest,38253
Honda,Insight LX,2013.0,98220.0,1.3,CVT,1.0,Hybrid,Front-wheel Drive,1.5,1.0,1.0,1.0,0.0,0.0,1.0,Gray,White,11600
Honda,Ridgeline RTL-E,2023.0,2624.0,3.5,Automatic,1.0,Gasoline,Four-wheel Drive,3.0,0.0,1.0,1.0,0.0,1.0,11.0,Black,Sonic Gray Pearl,42995
Volvo,XC40 T5 Momentum,2020.0,13712.0,2.0,8,1.0,Gasoline,Four-wheel Drive,5.5,0.0,0.0,1.0,1.0,1.0,7.0,Charcoal,White,35995
Honda,Pilot Black Edition,2022.0,24661.0,3.5,9,1.0,Gasoline,Four-wheel Drive,3.5,0.0,1.0,0.0,0.0,1.0,14.0,Black,Sonic Gray Pearl,45599
Hyundai,Tucson Sport,2019.0,76725.0,2.4,6,1.0,Gasoline,Four-wheel Drive,5.0,0.0,1.0,1.0,0.0,1.0,7.0,Beige,White Pearl,20688
Honda,Odyssey EX-L w/Navigation/RES,2020.0,77951.0,3.5,10,1.0,Gasoline,Front-wheel Drive,4.5,1.0,1.0,1.0,0.0,1.0,9.0,Gray,Blue,30488
Toyota,Camry Hybrid Base,2007.0,153451.0,2.4,CVT,0.0,Hybrid,Front-wheel Drive,1.0,0.0,1.0,1.0,0.0,1.0,2.0,Bisque,Black,6000
Cadillac,Escalade Premium Luxury,2021.0,26979.0,6.2,10,1.0,Gasoline,Four-wheel Drive,3.5,0.0,1.0,1.0,0.0,1.0,13.0,Jet Black,Black Raven,88580
Cadillac,Escalade Premium Luxury,2017.0,86446.0,6.2,8,1.0,Gasoline,Four-wheel Drive,2.5,0.0,0.0,1.0,0.0,1.0,11.0,Shale / Cocoa,Crystal White Tri-Coat,43064
Mitsubishi,Outlander Sport 2.4 SEL,2018.0,57326.0,2.4,CVT,1.0,Gasoline,Four-wheel Drive,1.5,0.0,0.0,1.0,0.0,1.0,5.0,Black,Mercury Gray Metallic,18650
Chevrolet,Corvette Stingray Z51,2014.0,29921.0,6.2,7,0.0,Gasoline,Rear-wheel Drive,6.0,0.0,0.0,1.0,0.0,1.0,6.0,Adrenaline Red,Black,47950
BMW,X6 xDrive35i,2018.0,45053.0,3.0,8,1.0,Gasoline,Four-wheel Drive,3.0,1.0,0.0,0.0,1.0,1.0,9.0,Canberra Beige,Alpine White,34500
MINI,Hardtop Cooper,2017.0,72369.0,1.5,Manual,0.0,Gasoline,Front-wheel Drive,4.5,0.0,0.0,1.0,0.0,1.0,5.0,Black,Beige,13995
Jeep,Grand Cherokee Limited,2020.0,21979.0,3.6,8,1.0,Gasoline,Four-wheel Drive,4.0,0.0,1.0,1.0,0.0,1.0,12.0,Black,Diamond Black,36300
Land,Rover Range Rover 5.0L Supercharged Autobiography,2017.0,50900.0,5.0,Automatic,0.0,Gasoline,Four-wheel Drive,2.0,0.0,1.0,1.0,0.0,1.0,15.0,Red,White,57700
Jaguar,F-TYPE SVR,2017.0,5570.0,5.0,8,1.0,Gasoline,Four-wheel Drive,3.5,0.0,1.0,1.0,0.0,1.0,11.0,Jet,Firesand,81420
Alfa,Romeo Stelvio Quadrifoglio,2018.0,30000.0,2.9,Automatic,1.0,Gasoline,Four-wheel Drive,3.0,0.0,0.0,1.0,0.0,1.0,13.0,Black,Vesuvio Gray Metallic,60999
