brand,model,year,mileage,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,avg_mpg,damaged,first_owner,personal_using,turbo,alloy_wheels,extras,interior_color,exterior_color,price
Volvo,XC90 T6 Momentum,2018.0,117775.0,2.0,Automatic,1.0,Gasoline,Four-wheel Drive,5.5,0.0,0.0,0.0,0.0,1.0,14.0,BLACK,GRAY,23995
Hyundai,Tucson Limited,2018.0,43291.0,1.6,7,1.0,Gasoline,Four-wheel Drive,4.0,0.0,0.0,0.0,1.0,1.0,9.0,Beige,Dazzling White,24582
Maserati,Levante Trofeo,2021.0,12075.0,3.8,8,1.0,Gasoline,Four-wheel Drive,3.0,0.0,1.0,1.0,1.0,1.0,10.0,Red,Black,109900
Volvo,S90 T5 Momentum,2017.0,60989.0,2.0,8,1.0,Gasoline,Front-wheel Drive,4.0,0.0,0.0,1.0,1.0,1.0,9.0,Amber,Black Stone,25604
Alfa,Romeo Giulia Ti,2019.0,17004.0,2.0,8,1.0,Gasoline,Four-wheel Drive,3.0,0.0,1.0,1.0,1.0,1.0,11.0,Black,Rosso,29619
Mazda,CX-5 Grand Touring,2016.0,133906.0,2.5,6,1.0,Gasoline,Four-wheel Drive,3.0,0.0,0.0,0.0,0.0,1.0,7.0,Parchment,Soul Red Metallic,15634
Jeep,Cherokee Latitude,2017.0,73014.0,2.4,9,1.0,Gasoline,Four-wheel Drive,2.5,0.0,1.0,1.0,0.0,1.0,4.0,Black,Diamond Black,18675
Volvo,XC90 B6 Plus 7-Seater,2023.0,5999.0,2.0,Automatic,1.0,Gasoline,Four-wheel Drive,2.5,0.0,0.0,0.0,1.0,1.0,9.0,Blond,Onyx Black,64553
Porsche,911 Carrera 4S,2022.0,4850.0,3.0,8,1.0,Gasoline,Four-wheel Drive,2.0,0.0,0.0,1.0,0.0,1.0,10.0,SLATE GRAY,Shark Blue,165900
Jaguar,XK R,2012.0,54574.0,5.0,6,1.0,Gasoline,Rear-wheel Drive,5.5,0.0,0.0,1.0,0.0,1.0,6.0,Charcoal / Ivory,Ebony,30990
