"brand","model","year","mileage","engine_size","drivetrain","avg_mpg","damaged","first_owner","extras","price"
"Mitsubishi","Outlander Sport 2.0 SE",2020,55746,2,"Four-wheel Drive",3,0,1,7,14995
"Chevrolet","Tahoe LT",2020,37590,5.3,"Rear-wheel Drive",3.5,0,1,10,45484
"Jeep","Grand Cherokee Trailhawk",2018,111632,3.6,"Four-wheel Drive",2,0,0,9,23991
"Hyundai","Tucson SE",2016,117204,2,"Front-wheel Drive",2.5,0,1,4,12500
"Honda","Accord Sport",2014,110416,2.4,"Front-wheel Drive",5,1,0,2,14242
"Mazda","Mazda6 i Sport",2015,137940,2.5,"Front-wheel Drive",3.5,1,0,4,9951
"Alfa","Romeo Giulia Base",2020,9325,2,"Four-wheel Drive",4,0,1,10,31368
"Kia","Stinger GT-Line",2020,27459,2,"Unknown",2.5,0,0,5,30998
"Jeep","Compass Trailhawk",2020,64442,2.4,"Four-wheel Drive",4,0,1,8,22999
"MINI","Hardtop Cooper",2022,1994,1.5,"Front-wheel Drive",4.5,0,1,8,31950
"Jaguar","E-PACE R-Dynamic SE",2018,45629,2,"Four-wheel Drive",2.5,0,0,9,31998
"Volvo","V60 Cross Country T5",2015,62157,2.5,"Four-wheel Drive",3.5,0,0,10,21989
"Honda","Fit EX",2017,47525,1.5,"Front-wheel Drive",2.5,0,0,6,18188
"Jaguar","XF 3.0 Portfolio",2015,70370,3,"Four-wheel Drive",3.5,0,1,6,17795
"Nissan","Pathfinder SL",2019,76788,3.5,"Four-wheel Drive",5.5,1,0,10,23000
"Nissan","Titan SL",2020,28785,5.6,"Rear-wheel Drive",2.5,0,1,11,44999
"BMW","X3 sDrive30i",2023,8245,2,"Rear-wheel Drive",3,0,1,9,48699
"Honda","Accord Sport 2.0T",2018,16943,2,"Front-wheel Drive",5,0,1,9,29998
"Nissan","Rogue Sport SV",2020,32236,2,"Four-wheel Drive",4,0,1,8,26564
"FIAT","500 Lounge",2013,124655,1.4,"Front-wheel Drive",4.5,0,0,4,9991
"Porsche","911 Carrera 4S",2016,11958,3.8,"Four-wheel Drive",3,0,0,5,109995
"Nissan","Murano SL",2017,72046,3.5,"Four-wheel Drive",3.5,1,0,12,23499
"Jaguar","XF 35t Premium",2016,65699,3,"Rear-wheel Drive",3.5,0,0,6,17995
"Mercedes-Benz","AMG CLA 35 Base 4MATIC",2022,2729,2,"Four-wheel Drive",5,0,1,7,47990
"Volvo","V90 Cross Country T6",2021,27798,2,"Four-wheel Drive",4,0,1,8,49995
"Toyota","Tacoma TRD Sport",2017,54512,3.5,"Four-wheel Drive",3.5,0,0,7,33988
"Alfa","Romeo Spider Graduate",1987,55120,2,"Front-wheel Drive",3.5,0,0,0,9500
"Mazda","CX-5 2.5 S Premium",2022,67594,2.5,"Four-wheel Drive",2,1,1,10,25700
"Honda","Odyssey EX-L",2019,40703,3.5,"Front-wheel Drive",4.5,0,1,13,34000
"Lexus","ES 350 ES 350",2023,2526,3.5,"Front-wheel Drive",4.5,0,1,9,45970
"Toyota","RAV4 Hybrid XLE Premium",2021,16276,2.5,"Four-wheel Drive",1.5,0,1,10,35399
"Volvo","V90 T6 Inscription",2020,40237,2,"Four-wheel Drive",3.5,0,1,8,48482
"Kia","Rio LX",2018,91669,1.6,"Front-wheel Drive",3.5,1,1,2,8995
"Toyota","RAV4 Base",2012,130997,2.5,"Four-wheel Drive",3,1,0,2,10893
"Honda","Civic EX-L",2014,63282,1.8,"Front-wheel Drive",4.5,0,0,6,20500
"MINI","Cooper S Base",2012,87974,1.6,"Front-wheel Drive",4.5,1,0,2,9995
"BMW","M235 Gran Coupe i xDrive",2021,19515,2,"Four-wheel Drive",4.5,0,1,8,39984
"Hyundai","Palisade Limited",2020,32694,3.8,"Four-wheel Drive",3.5,0,1,12,39438
"Mercedes-Benz","GLA 250 Base 4MATIC",2019,28131,2,"Four-wheel Drive",3.5,1,0,10,28900
"BMW","M3 Base",2018,17638,3,"Rear-wheel Drive",4,1,0,8,64000
"Volkswagen","Touareg VR6",2016,121000,3.6,"Four-wheel Drive",5.5,0,1,10,16495
"Maserati","Ghibli S Q4 GranSport",2019,27239,3,"Four-wheel Drive",5,0,1,11,48332
"Kia","Telluride SX",2020,63327,3.8,"Four-wheel Drive",3.5,0,1,11,39990
"Hyundai","Accent SEL",2018,52034,1.6,"Front-wheel Drive",2.5,0,1,5,10684
"Porsche","Macan S",2017,89400,3,"Four-wheel Drive",2.5,0,0,12,33500
"Hyundai","Tucson SE",2017,37785,2,"Four-wheel Drive",4,0,0,4,17499
"Kia","Cadenza Technology",2017,74408,3.3,"Front-wheel Drive",3,0,0,8,19785
"Toyota","Tacoma SR5",2018,57150,3.5,"Four-wheel Drive",2,1,1,7,31886
"Alfa","Romeo Stelvio Ti",2022,2175,2,"Four-wheel Drive",3,0,1,12,42495
"Mitsubishi","Outlander SE",2022,21584,2.5,"Four-wheel Drive",3.5,0,1,8,29495
"FIAT","124 Spider Classica",2018,68017,1.4,"Rear-wheel Drive",4.5,1,1,6,16925
"Mazda","CX-9 Touring Plus",2023,1490,2.5,"Four-wheel Drive",3,0,0,12,38560
"Mercedes-Benz","CLA-Class CLA 250",2016,73346,2,"Front-wheel Drive",2,1,0,6,16742
"Mercedes-Benz","AMG C 63 Base",2020,44678,4,"Rear-wheel Drive",3.5,1,1,8,56995
"Volvo","XC60 Recharge Plug-In Hybrid T8 Inscription",2021,22225,2,"Four-wheel Drive",4,0,1,11,50988
"Hyundai","Palisade Calligraphy",2021,44532,3.8,"Four-wheel Drive",3.5,0,1,14,45900
"Maserati","Levante GranSport",2019,21260,3,"Four-wheel Drive",4,0,1,11,54600
"Hyundai","Elantra SEL",2023,11408,2,"Front-wheel Drive",3,0,1,6,23995
"Porsche","Cayenne",2023,2383,3,"Four-wheel Drive",2.5,0,1,7,79899
"Porsche","Macan Base",2021,24359,2,"Four-wheel Drive",3.5,0,0,8,52990
"Volkswagen","Jetta GLI 2.0T S",2019,41155,2,"Front-wheel Drive",3.5,0,0,7,21888
"FIAT","124 Spider Lusso",2019,26627,1.4,"Rear-wheel Drive",4.5,0,0,7,24848
"Land","Rover Range Rover Evoque Pure Plus",2013,73074,2,"Four-wheel Drive",4,1,0,11,19989
"Volvo","XC90 T6 Inscription",2017,41169,2,"Four-wheel Drive",2.5,0,0,11,33988
"Mitsubishi","Outlander Sport ES",2015,49971,2,"Four-wheel Drive",2.5,0,0,2,16998
"BMW","440 Gran Coupe i xDrive",2018,57892,3,"Four-wheel Drive",5,1,1,7,32888
"Hyundai","Palisade Calligraphy",2022,4627,3.8,"Front-wheel Drive",1.5,0,1,12,51540
"Mercedes-Benz","E-Class E 450 4MATIC",2020,31797,3,"Four-wheel Drive",2.5,1,1,8,48998
"Alfa","Romeo Giulia Ti",2022,8530,2,"Rear-wheel Drive",3,0,0,12,31995
"Mitsubishi","Outlander Sport ES",2018,81905,2,"Front-wheel Drive",2.5,1,1,4,14495
"Toyota","4Runner SR5 Premium",2022,36859,4,"Four-wheel Drive",1.5,0,1,8,42900
"Jaguar","E-PACE SE",2020,37257,2,"Four-wheel Drive",3.5,1,1,8,31998
"Mitsubishi","Outlander ES",2022,17132,2.5,"Four-wheel Drive",3,0,1,9,28989
"Jaguar","F-TYPE S",2015,22969,3,"Rear-wheel Drive",4.5,0,0,8,38998
"Cadillac","CT5-V V-Series Blackwing",2023,3346,6.2,"Rear-wheel Drive",3.5,0,1,7,109900
"Mercedes-Benz","E-Class E 300",2019,32228,2,"Four-wheel Drive",3,1,0,9,31649
"Kia","Sorento SX Prestige",2022,11380,2.5,"Four-wheel Drive",2.5,0,1,12,45998
"Maserati","Levante S",2020,58846,3,"Four-wheel Drive",3,0,1,7,38550
"Maserati","Levante GranLusso",2018,55416,3,"Four-wheel Drive",2,1,0,10,31999
"Nissan","Frontier SE King Cab",2005,95200,4,"Rear-wheel Drive",2.5,0,0,0,9995
"Nissan","Titan PRO-4X",2019,51315,5.6,"Four-wheel Drive",3.5,0,0,7,34995
"Audi","Q7 45 Premium",2020,37205,2,"Four-wheel Drive",2,0,1,11,41500
"Volkswagen","Atlas 3.6 V6 SE w/ Technology",2021,30833,3.6,"Four-wheel Drive",5,1,1,12,33299
"Mercedes-Benz","C-Class C 300 4MATIC",2017,45263,2,"Four-wheel Drive",2.5,0,0,6,26981
"Maserati","Levante GT",2022,2349,3,"Four-wheel Drive",3,0,1,13,77994
"Cadillac","CT6 3.0L Twin Turbo Platinum",2016,65313,3,"Four-wheel Drive",3.5,1,0,9,29668
"Audi","Q7 45 Premium Plus",2020,35651,2,"Four-wheel Drive",2,0,1,13,43393
"Kia","K5 LXS",2021,68375,1.6,"Front-wheel Drive",5,1,0,8,21355
"Volvo","S90 T5 Momentum",2018,20523,2,"Four-wheel Drive",4.5,0,0,11,28999
"Hyundai","IONIQ Hybrid SEL",2021,35840,1.6,"Front-wheel Drive",1.5,0,0,10,23529
"Ford","Expedition Limited",2021,23775,3.5,"Four-wheel Drive",2.5,0,1,11,56847
"Cadillac","CTS 3.6L Luxury",2016,45518,3.6,"Rear-wheel Drive",3.5,1,1,8,22895
"Lexus","NX 200t F Sport",2016,57868,2,"Four-wheel Drive",2.5,0,0,10,31981
"Land","Rover Range Rover Supercharged",2019,33521,5,"Four-wheel Drive",3,0,0,10,65500
"Maserati","Ghibli S Q4",2017,27023,3,"Four-wheel Drive",3.5,0,0,11,33743
"Alfa","Romeo Stelvio Ti",2018,72125,2,"Four-wheel Drive",4,0,0,8,19999
"Alfa","Romeo Giulia Ti",2021,30619,2,"Rear-wheel Drive",3,0,1,12,32847
"Jaguar","XJ XJL Portfolio",2015,124794,3,"Four-wheel Drive",3.5,0,1,8,18962
"Porsche","Panamera 4",2012,63604,3.6,"Four-wheel Drive",2,1,0,7,25001
"Volkswagen","Jetta GLI 2.0T Autobahn",2022,15319,2,"Front-wheel Drive",3,0,1,9,30985
"Maserati","Ghibli Base",2018,33498,3,"Rear-wheel Drive",3.5,0,1,7,38500
"Mazda","CX-9 Carbon Edition",2023,7014,2.5,"Four-wheel Drive",3,0,0,11,41939
"BMW","M760 i xDrive",2019,36536,6.6,"Four-wheel Drive",3.5,1,0,9,65977
"FIAT","124 Spider Classica",2018,27801,1.4,"Rear-wheel Drive",4.5,0,1,4,17999
"Lexus","ES 300h Base",2020,20620,2.5,"Front-wheel Drive",5.5,0,1,10,39995
"BMW","750 i xDrive",2020,37939,4.4,"Four-wheel Drive",4,0,1,9,58995
"Toyota","Tacoma TRD Sport",2018,18015,3.5,"Four-wheel Drive",2,1,1,8,35301
"Nissan","Maxima Platinum",2023,485,3.5,"Front-wheel Drive",2.5,0,1,7,44292
"Toyota","RAV4 XLE",2021,65169,2.5,"Front-wheel Drive",3.5,0,1,8,26756
"Cadillac","ATS 2.5L",2016,56700,2.5,"Rear-wheel Drive",4,0,0,8,16200
"Jeep","Grand Cherokee Limited",2020,31931,3.6,"Four-wheel Drive",2.5,0,1,12,31450
"FIAT","500 Pop",2012,74200,1.4,"Front-wheel Drive",4,0,0,3,10500
"Audi","A6 45 Premium",2020,9196,2,"Four-wheel Drive",4,0,1,9,42888
"Jeep","Wrangler Unlimited Rubicon",2017,91704,3.6,"Four-wheel Drive",3.5,0,0,6,30788
"Jeep","Grand Cherokee L Limited",2023,6325,3.6,"Four-wheel Drive",2,0,1,6,49350
"Chevrolet","Suburban LT",2021,27305,3,"Four-wheel Drive",2,0,1,11,63500
"Land","Rover Discovery HSE",2020,48815,3,"Four-wheel Drive",2.5,1,0,11,40983
"Chevrolet","Tahoe Premier",2021,59170,5.3,"Rear-wheel Drive",2,0,1,10,57000
"BMW","528 i",2014,82277,2,"Rear-wheel Drive",5.5,1,0,6,16995
"BMW","M8 Gran Coupe Gran Coupe",2021,15226,4.4,"Four-wheel Drive",3,0,0,6,119999
"Volkswagen","Golf Alltrack TSI SE",2019,33453,1.8,"Four-wheel Drive",3,0,1,4,29995
"Porsche","718 Cayman Base",2018,40000,2,"Rear-wheel Drive",4.5,0,0,6,64900
"Toyota","Tundra SR5",2021,20581,5.7,"Rear-wheel Drive",2,0,1,6,43990
"Hyundai","Tucson GLS",2010,89482,2.4,"Front-wheel Drive",3.5,0,0,1,9500
"Jeep","Grand Cherokee SRT",2015,72577,6.4,"Four-wheel Drive",3.5,0,0,10,39927
"Jaguar","F-PACE S",2020,32745,3,"Four-wheel Drive",4,0,1,13,49900
"Mitsubishi","Outlander SE",2019,77092,2.4,"Front-wheel Drive",3,0,0,8,17199
"Audi","A3 1.8T Premium",2015,116287,1.8,"Front-wheel Drive",5,0,0,6,12999
"Hyundai","Sonata SE",2022,24008,2.5,"Front-wheel Drive",3,0,1,6,24057
"Nissan","Altima 2.5 S",2012,28639,2.5,"Front-wheel Drive",2.5,0,1,5,18998
"Kia","Carnival SX Prestige",2022,19797,3.5,"Front-wheel Drive",1,0,1,12,49973
"Maserati","Ghibli S Q4",2015,37900,3,"Four-wheel Drive",3.5,1,0,10,27999
"Nissan","Titan PRO-4X",2018,61492,5.6,"Four-wheel Drive",2.5,0,0,6,35687
"Hyundai","Tucson Limited",2023,7282,2.5,"Four-wheel Drive",5,0,0,10,35060
"Maserati","Quattroporte S Q4 GranLusso",2021,5470,3,"Four-wheel Drive",3.5,0,1,14,77990
"BMW","430 i xDrive",2019,23169,2,"Four-wheel Drive",5,1,1,9,30978
"Volkswagen","Tiguan 2.0T SEL Premium R-Line",2020,39840,2,"Four-wheel Drive",3,1,1,12,30900
"Cadillac","XT5 Luxury",2019,38187,3.6,"Four-wheel Drive",2.5,0,1,10,31997
"Nissan","Juke NISMO",2013,54764,1.6,"Four-wheel Drive",2.5,0,0,3,15995
"Ford","Expedition Max Limited",2019,64119,3.5,"Four-wheel Drive",2.5,0,1,11,49750
"Hyundai","Santa Fe SEL",2023,4718,2.5,"Front-wheel Drive",4,0,0,8,32133
"Maserati","Levante GT",2022,9208,3,"Four-wheel Drive",3.5,0,1,11,71991
"Jaguar","XF Base",2011,48467,5,"Rear-wheel Drive",5,0,0,5,14000
"Alfa","Romeo Stelvio Quadrifoglio",2018,30911,2.9,"Four-wheel Drive",3,0,0,11,48997
"Volkswagen","Taos 1.5T S",2022,16164,1.5,"Four-wheel Drive",2,0,1,7,25999
"Cadillac","CT5 Premium Luxury AWD",2021,38553,3,"Four-wheel Drive",4.5,0,1,9,39498
"Jaguar","F-TYPE R",2017,23500,5,"Four-wheel Drive",5,0,0,12,57000
"Nissan","Altima 2.5 S",2018,108379,2.5,"Front-wheel Drive",5,0,0,5,13995
"Toyota","Highlander Hybrid Platinum",2021,16064,2.5,"Four-wheel Drive",0.5,0,1,12,53334
"Chevrolet","Trax LS",2016,78276,1.4,"Front-wheel Drive",4,1,1,4,13400
"Volkswagen","Golf SportWagen 1.4T SE",2019,63344,1.4,"Front-wheel Drive",5.5,0,1,5,20409
"Kia","Telluride SX",2022,14968,3.8,"Four-wheel Drive",3,0,0,12,53968
"Mercedes-Benz","GLS 550 Base 4MATIC",2018,41198,4.7,"Four-wheel Drive",2,1,1,11,42488
"BMW","X5 xDrive35d",2011,118035,3,"Four-wheel Drive",3.5,1,0,5,13169
"Maserati","GranTurismo Sport",2013,27670,4.7,"Rear-wheel Drive",3.5,0,0,5,40932
"Porsche","Macan",2018,46933,2,"Four-wheel Drive",2,0,0,9,37998
"Cadillac","Escalade Sport",2023,7367,6.2,"Four-wheel Drive",5.5,1,1,7,117988
"Jaguar","XE 35t R-Sport",2017,65660,3,"Four-wheel Drive",4,0,0,7,25296
"Land","Rover LR4 Base",2015,121000,3,"Four-wheel Drive",2.5,0,0,11,17950
"Land","Rover Range Rover Velar P380 SE R-Dynamic",2018,70492,3,"Four-wheel Drive",2.5,0,0,9,33995
"Maserati","Levante GTS",2019,20760,3.8,"Four-wheel Drive",3.5,0,1,11,77645
"Volkswagen","Taos 1.5T S",2022,44914,1.5,"Front-wheel Drive",3,0,1,6,23980
"Mitsubishi","Outlander Sport 2.0 BE",2021,37695,2,"Four-wheel Drive",3,1,1,7,22589
"Jeep","Wrangler Unlimited Rubicon",2022,6215,6.4,"Four-wheel Drive",3,0,1,12,82990
"Maserati","Levante Base",2020,35318,3,"Four-wheel Drive",4,0,1,11,48499
"Mercedes-Benz","E-Class E 350 4MATIC",2016,55610,3.5,"Four-wheel Drive",4,1,0,6,24489
"Jaguar","XJ Base",2013,39162,3,"Rear-wheel Drive",2.5,1,0,7,21995
"Ford","F-150 King Ranch",2016,63583,5,"Four-wheel Drive",3,0,1,8,39972
"Audi","A5 2.0T Premium Plus",2020,40241,2,"Four-wheel Drive",4,0,1,4,33800
"Land","Rover Range Rover P530 SE",2023,2624,4.4,"Four-wheel Drive",1.5,0,1,8,159988
"Alfa","Romeo Giulia Base",2019,35482,2,"Rear-wheel Drive",3,0,1,10,25041
"MINI","Hardtop Cooper",2023,3803,1.5,"Front-wheel Drive",5.5,0,1,7,32921
"Jaguar","F-PACE S",2017,54167,3,"Four-wheel Drive",2.5,0,0,8,33998
"Lexus","LX 570 Three-Row",2021,22825,5.7,"Four-wheel Drive",5,0,1,10,84922
"Mazda","MazdaSpeed3 Touring",2012,106370,2.3,"Front-wheel Drive",3,0,0,5,12950
"Jaguar","F-TYPE SVR",2020,19458,5,"Four-wheel Drive",4.5,0,1,10,100000
"Land","Rover Range Rover Evoque SE",2019,38383,2,"Four-wheel Drive",3,0,0,7,32990
"Hyundai","Elantra GT Base",2019,58150,2,"Front-wheel Drive",4.5,0,0,6,17999
"MINI","Countryman Cooper",2020,64522,1.5,"Front-wheel Drive",2.5,1,1,7,20980
"Nissan","Murano Platinum",2023,2371,3.5,"Four-wheel Drive",2.5,0,1,8,44399
"Jaguar","F-PACE 35t Prestige",2017,52573,3,"Four-wheel Drive",4.5,1,0,12,27700
"Mitsubishi","Mirage ES",2019,67863,1.2,"Front-wheel Drive",2.5,1,0,4,9998
"Ford","Shelby GT500 Base",2022,1296,5.2,"Rear-wheel Drive",3,0,1,10,103364
"Mitsubishi","Outlander SEL",2022,7852,2.5,"Front-wheel Drive",2.5,0,1,10,29986
"Mazda","CX-3 Grand Touring",2018,40166,2,"Four-wheel Drive",3,0,1,10,21999
"Audi","A5 2.0T Prestige",2019,60921,2,"Four-wheel Drive",5.5,1,1,8,37990
"Audi","SQ8 4.0T Prestige",2020,19690,4,"Four-wheel Drive",3,1,1,10,72982
"Kia","Soul +",2013,75675,2,"Front-wheel Drive",3,0,1,2,10995
"BMW","X6 xDrive40i",2020,35043,3,"Four-wheel Drive",3,0,0,9,59999
"Lexus","UX 250h F Sport",2022,11050,2,"Four-wheel Drive",3,0,1,5,39992
"Volvo","XC40 T5 R-Design",2022,13942,2,"Four-wheel Drive",5.5,0,1,8,40998
"Mazda","CX-5 Sport",2015,102150,2,"Four-wheel Drive",4.5,1,0,2,14998
"Ford","Fusion Hybrid SE",2014,105808,2,"Front-wheel Drive",1.5,0,1,6,15998
"Mercedes-Benz","S-Class S 580 4MATIC",2022,12432,4,"Four-wheel Drive",3.5,0,1,8,104995
"Chevrolet","Suburban RST",2023,1575,5.3,"Four-wheel Drive",2,0,1,7,84995
"Cadillac","ATS-V Base",2016,37115,3.6,"Rear-wheel Drive",4.5,0,0,8,43998
"MINI","Cooper Base",2012,95248,1.6,"Front-wheel Drive",5,1,0,2,11977
"Jeep","Grand Cherokee Laredo",2023,10334,3.6,"Four-wheel Drive",2,0,1,7,42997
"BMW","X6 M50i",2022,6658,4.4,"Four-wheel Drive",3,0,1,11,84699
"Toyota","Sienna XLE",2020,78343,3.5,"Front-wheel Drive",3.5,0,0,13,29980
"Porsche","Cayenne Turbo",2017,78379,4.8,"Four-wheel Drive",4.5,0,0,9,49900
"Porsche","Macan GTS",2021,25445,2.9,"Four-wheel Drive",2,0,0,6,69998
"MINI","Hardtop Cooper S",2017,44921,2,"Front-wheel Drive",5,0,0,7,20998
"Audi","Q7 45 Premium Plus",2023,12447,2,"Four-wheel Drive",3,0,1,10,63599
"Chevrolet","Corvette Base",2002,57604,5.7,"Rear-wheel Drive",12.5,0,0,2,23900
"Cadillac","ATS 2.0L Turbo Luxury",2019,55136,2,"Four-wheel Drive",4.5,1,0,9,21997
"Audi","S8 4.0T quattro",2023,2592,4,"Four-wheel Drive",4.5,0,1,6,116495
"FIAT","124 Spider Lusso",2018,21270,1.4,"Rear-wheel Drive",4.5,0,0,6,25466
"Honda","Pilot EX",2021,36723,3.5,"Four-wheel Drive",3.5,1,1,10,31895
"Land","Rover Range Rover P530 SE",2023,857,4.4,"Four-wheel Drive",2,0,1,5,168000
"Alfa","Romeo Stelvio Sprint",2022,13581,2,"Rear-wheel Drive",3,0,1,8,39598
"Volvo","XC90 T6 Inscription",2019,61158,2,"Four-wheel Drive",2,0,1,12,35992
"Cadillac","XT4 Sport",2019,15654,2,"Four-wheel Drive",3.5,0,1,8,37998
"Alfa","Romeo Stelvio Ti",2022,15278,2,"Four-wheel Drive",3,0,1,11,40999
"Volvo","S60 T6 R-Design",2020,44903,2,"Four-wheel Drive",5.5,0,0,9,36330
"BMW","328 Gran Turismo i xDrive",2015,100700,2,"Four-wheel Drive",5.5,0,0,10,13890
"Audi","A5 2.0T Premium Plus",2022,138,2,"Four-wheel Drive",4,0,1,8,46450
"Chevrolet","Express 2500 Work Van",2016,74815,6,"Rear-wheel Drive",3,0,0,1,42495
"Porsche","911 Targa 4",2019,13516,3,"Four-wheel Drive",3.5,0,0,7,124990
"Toyota","GR86 Base",2022,8925,2.4,"Rear-wheel Drive",5,0,1,8,35000
"Honda","CR-V EX-L",2016,87050,2.4,"Four-wheel Drive",3,0,1,9,21000
"Chevrolet","Avalanche LTZ",2013,91099,5.3,"Four-wheel Drive",3,1,0,6,24998
"Hyundai","Santa Fe Limited 2.4",2020,25975,2.4,"Four-wheel Drive",2,1,1,8,33995
"Mercedes-Benz","AMG S AMG S 63 4MATIC",2016,57512,5.5,"Four-wheel Drive",4.5,0,1,8,54630
"Kia","Sportage EX",2018,154394,2.4,"Front-wheel Drive",2.5,0,1,8,14867
"Honda","CR-V LX",2020,52143,1.5,"Front-wheel Drive",3,0,1,6,26366
"MINI","Coupe Cooper S",2014,120045,1.6,"Front-wheel Drive",3,1,0,3,10500
"Chevrolet","Malibu Premier",2016,95526,2,"Front-wheel Drive",5.5,0,0,12,14555
"Mercedes-Benz","S-Class S 560 4MATIC",2019,51359,4,"Four-wheel Drive",3.5,0,0,5,65997
"Volvo","XC40 T5 Inscription",2019,58799,2,"Four-wheel Drive",6,0,1,9,33999
"Nissan","Rogue SV",2022,26860,1.5,"Four-wheel Drive",2.5,0,1,8,28997
"Mitsubishi","Outlander SEL",2022,21149,2.5,"Front-wheel Drive",2.5,0,1,10,32723
"Mazda","CX-30 Preferred",2020,27796,2.5,"Four-wheel Drive",3,0,1,9,24289
"Cadillac","CT4 Sport",2020,6217,2,"Four-wheel Drive",4,0,0,10,34999
"BMW","M240 i xDrive",2022,7946,3,"Four-wheel Drive",4.5,0,1,11,53763
"Kia","K5 GT-Line",2022,20032,1.6,"Front-wheel Drive",2.5,0,1,10,25577
"Honda","Civic EX",2016,124478,2,"Front-wheel Drive",5,1,1,7,14971
"Chevrolet","Tahoe LT",2021,44692,5.3,"Four-wheel Drive",2,0,0,7,54976
"Porsche","Macan S",2019,29199,3,"Four-wheel Drive",3,1,1,8,50995
"Jaguar","XF S",2016,40569,3,"Rear-wheel Drive",2.5,0,0,8,25000
"Honda","Civic LX",2017,28857,2,"Front-wheel Drive",4.5,0,0,4,21998
"Maserati","Levante GT",2022,6263,3,"Four-wheel Drive",3.5,0,1,11,69950
"Jeep","Grand Cherokee 4xe Overland",2022,2930,2,"Four-wheel Drive",3.5,0,1,10,58585
"Alfa","Romeo Giulia Ti",2018,32751,2,"Rear-wheel Drive",3,0,0,8,26980
"Volkswagen","Jetta GLI 2.0T Autobahn",2022,3292,2,"Front-wheel Drive",4.5,0,1,8,34287
"Maserati","Ghibli Base",2017,52284,3,"Rear-wheel Drive",4,0,0,9,26490
"Porsche","Macan S",2018,45299,3,"Four-wheel Drive",2.5,0,1,6,38990
"Ford","F-150",2018,30945,3.3,"Four-wheel Drive",2.5,0,0,2,32688
"Mazda","CX-5 Touring",2021,17674,2.5,"Four-wheel Drive",3.5,0,1,10,26438
"Hyundai","Veloster Base",2015,104889,1.6,"Front-wheel Drive",2.5,1,0,3,9944
"Nissan","Maxima SV",2011,125072,3.5,"Front-wheel Drive",3.5,0,0,5,8300
"Mercedes-Benz","CLA 250 Base",2019,65248,2,"Front-wheel Drive",3.5,0,0,8,25995
"Jeep","Cherokee Sport",2000,123599,4,"Four-wheel Drive",3.5,1,0,0,9975
"Mercedes-Benz","GLA-Class GLA 250",2015,75504,2,"Front-wheel Drive",2.5,0,0,5,18196
"Volkswagen","Tiguan 2.0T SE",2022,8518,2,"Four-wheel Drive",5.5,0,1,8,31593
"Ford","Explorer ST-Line",2022,10598,2.3,"Rear-wheel Drive",3.5,0,1,10,41588
"Land","Rover Range Rover 5.0L Supercharged Autobiography",2017,47817,5,"Four-wheel Drive",2.5,0,0,15,54995
"FIAT","500X Sport",2020,36101,1.3,"Four-wheel Drive",3,0,1,8,19278
"Mercedes-Benz","AMG CLA 45 Base 4MATIC",2020,17055,2,"Four-wheel Drive",4,0,1,12,51900
"Cadillac","CT5 Luxury RWD",2022,22356,2,"Rear-wheel Drive",4.5,0,1,9,35990
"Honda","Insight EX",2022,17131,1.5,"Front-wheel Drive",3,0,1,9,26649
"Porsche","Macan S",2020,28777,3,"Four-wheel Drive",2,0,1,7,55995
"FIAT","500C Abarth",2013,85650,1.4,"Front-wheel Drive",3,0,0,4,10995
"Mazda","CX-50 2.5 Turbo Premium Package",2023,5440,2.5,"Four-wheel Drive",3,0,1,0,39440
"FIAT","500 Sport",2012,93108,1.4,"Front-wheel Drive",4,0,1,3,8244
"Maserati","Levante S GranSport",2018,26386,3,"Four-wheel Drive",4,1,0,10,42588
"Chevrolet","Tahoe High Country",2021,26159,6.2,"Four-wheel Drive",2.5,0,0,12,71000
"MINI","Cooper Base",2012,41253,1.6,"Front-wheel Drive",5,1,0,4,11410
"Land","Rover LR2 Base",2013,59323,2,"Four-wheel Drive",2.5,0,0,6,15800
"Kia","Sedona L",2020,46394,3.3,"Front-wheel Drive",5,0,1,6,24076
"Nissan","Rogue SL",2017,123630,2.5,"Four-wheel Drive",2.5,0,1,10,14997
"FIAT","500 Sport",2013,74000,1.4,"Front-wheel Drive",4.5,1,0,3,8725
"Ford","Expedition Max Limited",2021,44148,3.5,"Rear-wheel Drive",3,0,0,11,45452
"Jeep","Wrangler Unlimited Sahara",2017,38445,3.6,"Four-wheel Drive",3.5,0,0,1,33799
"Porsche","Macan GTS",2017,70216,3,"Four-wheel Drive",4.5,1,0,7,37853
"Jeep","Grand Cherokee Limited",2017,78813,3.6,"Four-wheel Drive",2.5,1,1,9,24995
"Lexus","NX 300 Base",2021,19367,2,"Four-wheel Drive",3.5,0,1,9,33900
"Land","Rover Range Rover Sport 5.0L Supercharged SVR",2022,20936,5,"Four-wheel Drive",2.5,0,0,9,115899
"Maserati","Levante GT",2022,4288,3,"Four-wheel Drive",3.5,0,1,10,64998
"Land","Rover Discovery SE",2018,40167,3,"Four-wheel Drive",2.5,0,1,9,32999
"Mercedes-Benz","AMG C 43 Base 4MATIC",2019,25939,3,"Four-wheel Drive",4,1,0,8,59988
"Mazda","MX-5 Miata Grand Touring",2007,42659,2,"Rear-wheel Drive",3,0,0,2,12499
"Jaguar","F-PACE 25t Premium",2020,48358,2,"Four-wheel Drive",2.5,1,1,6,33900
"Honda","Accord LX 1.5T",2020,77497,1.5,"Front-wheel Drive",4,1,1,7,19995
